vendor_record_id,domain,firm_name_reported,industry_reported,employee_count,custodian_reported,service_model_reported,tax_services_reported,fee_model_reported,source,source_url,observed_at,vendor_confidence
V-0001,creativeplanning.com,Creative Planning,Investment Management,340,Schwab,,,AUM Percentage,vendor_a,https://creativeplanning.com/about,2026-06-25,0.85
V-0002,creativeplanning.com,Creative Planning,Financial Planning,340,Schwab,Ongoing Advisory,In-House,,vendor_b,https://creativeplanning.com/about,2025-08-19,0.57
V-0003,creativeplanning.com,Creative Planning,Investment Advisory,340,Altruist,Ongoing Advisory,In-House,AUM Percentage,web_crawl,https://creativeplanning.com/about,2026-06-24,0.83
V-0004,merceradvisors.com,Mercer Advisors,Financial Planning,290,,,,,vendor_a,https://merceradvisors.com/about,2026-08-12,0.78
V-0005,merceradvisors.com,Mercer Advisors,Investment Management,326,Schwab,Ongoing Advisory,In-House,AUM Percentage,vendor_b,https://merceradvisors.com/about,2026-08-15,0.68
V-0006,carsongroup.com,Carson Group,Investment Management,180,,Ongoing Advisory,Referral Partner,AUM Percentage,vendor_a,https://carsongroup.com/about,2026-08-19,0.91
V-0007,savantwealth.com,Savant Wealth Management,Investment Management,95,Schwab,,In-House,AUM Percentage,vendor_a,https://savantwealth.com/about,2026-07-05,0.58
V-0008,savantwealth.com,Savant Wealth Management,financial services,95,Pershing,Ongoing Advisory,,AUM Percentage,vendor_b,https://savantwealth.com/about,2026-09-05,0.73
V-0009,buckinghamstrategicwealth.com,Buckingham Strategic Wealth,Investment Advisory,126,,,,AUM Percentage,vendor_a,https://buckinghamstrategicwealth.com/about,2026-09-15,0.65
V-0010,wealthenhancement.com,Wealth Enhancement Group,Wealth Management,210,Schwab,Ongoing Advisory,In-House,,vendor_a,https://wealthenhancement.com/about,2026-09-02,0.75
V-0011,wealthenhancement.com,Wealth Enhancement Group,Investment Management,210,Altruist,Ongoing Advisory,In-House,,vendor_b,https://wealthenhancement.com/about,2025-09-25,0.85
V-0012,wealthenhancement.com,Wealth Enhancement Group,Financial Services,210,Altruist,,,AUM Percentage,web_crawl,https://wealthenhancement.com/about,2026-03-23,0.7
V-0013,brightonjones.com,Brighton Jones,financial services,82,Schwab,Ongoing Advisory,In-House,AUM Percentage,vendor_a,https://brightonjones.com/about,2026-08-10,0.6
V-0014,brightonjones.com,"Brighton Jones, LLC",Financial Services,88,Fidelity,Ongoing Advisory,,,vendor_b,https://brightonjones.com/about,2026-07-03,0.6
V-0015,plancorp.com,Plancorp,Investment Management,46,,Ongoing Advisory,Referral Partner,,vendor_a,https://plancorp.com/about,2026-06-16,0.62
